wojewodztwo;powiat;miasto;kod_pocztowy;ulica;typ_ulica
podkarpackie;M. Rzeszów;Rzeszów;35-020;17 Pu³ku Piechoty;ul.
œl¹skie;M. Chorzów;Chorzów;41-503;17 Sierpnia;ul.
mazowieckie;M. Warszawa;Warszawa;02-148;17 Stycznia;ul.
mazowieckie;M. Warszawa;Warszawa;02-146;17 Stycznia;ul.
œl¹skie;M. Katowice;Katowice;40-850;18 Sierpnia;ul.
mazowieckie;M. Warszawa;Warszawa;04-144;1831 Roku;Plac
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-004;19 Marca 1981 r.;ul.
mazowieckie;M. Warszawa;Warszawa;02-495;1905 Roku;Plac
œwiêtokrzyskie;M. Kielce;Kielce;25-802;1905 Roku;ul.
mazowieckie;M. Radom;Radom;26-610;1905 Roku;ul.
mazowieckie;M. Radom;Radom;26-612;1905 Roku;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-075;1-go Maja;ul.
œl¹skie;raciborski;Racibórz;47-400;1-go Maja;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-790;2 PaŸdziernika;ul.
ma³opolskie;M. Kraków;Kraków;31-868;2 Pu³ku Lotniczego;Osiedle
ma³opolskie;M. Kraków;Kraków;31-867;2 Pu³ku Lotniczego;Osiedle
ma³opolskie;M. Kraków;Kraków;31-869;2 Pu³ku Lotniczego;Osiedle
ma³opolskie;M. Kraków;Kraków;31-870;2 Pu³ku Lotniczego;Osiedle
mazowieckie;M. Warszawa;Warszawa;03-340;20 Dywizji Piechoty WP;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-081;20 Stycznia 1920 r.;ul.
mazowieckie;M. Warszawa;Warszawa;03-983;"21 Pu³ku Piechoty ""Dzieci Warszawy""";ul.
œl¹skie;miko³owski;Miko³ów;43-195;22 Lipca;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-603;22 Lipca;ul.
œl¹skie;M. Gliwice;Gliwice;44-113;22 Lipca;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-600;22 Stycznia;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-572;22 Stycznia;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-573;22 Stycznia;ul.
œl¹skie;M. Chorzów;Chorzów;41-500;23 Czerwca;ul.
wielkopolskie;M. Poznañ;Poznañ;61-742;23 Lutego;ul.
wielkopolskie;M. Poznañ;Poznañ;61-741;23 Lutego;ul.
wielkopolskie;M. Poznañ;Poznañ;61-743;23 Lutego;ul.
wielkopolskie;M. Poznañ;Poznañ;61-744;23 Lutego;ul.
pomorskie;M. Sopot;Sopot;81-820;23 Marca;ul.
pomorskie;M. Sopot;Sopot;81-808;23 Marca;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-605;23 Stycznia;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-200;24 Kwietnia;ul.
mazowieckie;M. Radom;Radom;26-610;25 Czerwca;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-126;26 Kwietnia;ul.
œl¹skie;M. Rybnik;Rybnik;44-200;26 Marca;ul.
œl¹skie;wodzis³awski;Wodzis³aw Œl¹ski;44-300;26 Marca;ul.
mazowieckie;M. Warszawa;Warszawa;04-665;27 Grudnia;ul.
wielkopolskie;M. Poznañ;Poznañ;61-737;27 Grudnia;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-181;27 Lipca;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-182;27 Lipca;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-147;27 Lipca;ul.
œl¹skie;M. Siemianowice Œl¹skie;Siemianowice Œl¹skie;41-100;27 Stycznia;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-208;27 Stycznia;ul.
œl¹skie;bêdziñski;Bêdzin;42-500;27 Stycznia;ul.
œl¹skie;miko³owski;Miko³ów;43-190;27 Stycznia;ul.
wielkopolskie;M. Poznañ;Poznañ;61-567;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-526;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-544;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-525;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-545;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-507;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-505;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-515;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-485;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-481;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-469;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-437;28 Czerwca 1956 r.;ul.
wielkopolskie;M. Poznañ;Poznañ;61-441;28 Czerwca 1956 r.;ul.
ma³opolskie;M. Kraków;Kraków;30-233;28 Lipca 1943 r.;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-749;28 Pu³ku Strzelców Kaniowskich;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-639;28 Pu³ku Strzelców Kaniowskich;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-750;28 Pu³ku Strzelców Kaniowskich;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-640;28 Pu³ku Strzelców Kaniowskich;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-559;28 Pu³ku Strzelców Kaniowskich;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-558;28 Pu³ku Strzelców Kaniowskich;ul.
œl¹skie;M. Mys³owice;Mys³owice;41-406;28 Stycznia;ul.
œl¹skie;M. Mys³owice;Mys³owice;41-400;28 Stycznia;ul.
ma³opolskie;M. Kraków;Kraków;31-236;29 Listopada;Al.
ma³opolskie;M. Kraków;Kraków;31-401;29 Listopada;Al.
ma³opolskie;M. Kraków;Kraków;31-241;29 Listopada;Al.
ma³opolskie;M. Kraków;Kraków;31-425;29 Listopada;Al.
ma³opolskie;M. Kraków;Kraków;31-406;29 Listopada;Al.
mazowieckie;M. Warszawa;Warszawa;00-465;29 Listopada;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-600;29 Listopada;ul.
pomorskie;M. Gdañsk;Gdañsk;80-041;3 Brygady Szczerbca;ul.
œl¹skie;bêdziñski;Bêdzin;42-500;3 Maja;Plac
lubelskie;M. Lublin;Lublin;20-078;3 Maja;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-030;3 Maja;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;3 Maja;ul.
œl¹skie;M. Mys³owice;Mys³owice;41-408;3 Maja;ul.
œl¹skie;M. Chorzów;Chorzów;41-500;3 Maja;ul.
œl¹skie;M. Zabrze;Zabrze;41-800;3 Maja;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-217;3 Maja;ul.
œl¹skie;zawierciañski;Zawiercie;42-400;3 Maja;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-600;3 Maja;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;3 Maja;ul.
œl¹skie;M. Rybnik;Rybnik;44-200;3 Maja;ul.
œl¹skie;M. Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;44-268;3 Maja;ul.
opolskie;brzeski;Brzeg;49-306;3 Maja;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-119;3 Maja;ul.
pomorskie;M. Gdañsk;Gdañsk;80-802;3 Maja;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-016;3 Maja;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-408;3 Maja;ul.
pomorskie;M. Sopot;Sopot;81-728;3 Maja;ul.
pomorskie;M. Gdynia;Gdynia;81-357;3 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-096;3 Maja;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-200;3 Maja;ul.
pomorskie;M. Sopot;Sopot;81-729;3 Maja;ul.
pomorskie;M. Gdynia;Gdynia;81-363;3 Maja;ul.
pomorskie;M. Gdynia;Gdynia;81-364;3 Maja;ul.
œl¹skie;M. Katowice;Katowice;40-097;3 Maja;ul.
pomorskie;M. Sopot;Sopot;81-743;3 Maja;ul.
pomorskie;M. Gdynia;Gdynia;81-396;3 Maja;ul.
wielkopolskie;M. Poznañ;Poznañ;61-728;3 Maja;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-205;3 Maja;ul.
pomorskie;M. Sopot;Sopot;81-850;3 Maja;ul.
pomorskie;M. Sopot;Sopot;81-747;3 Maja;ul.
ma³opolskie;M. Kraków;Kraków;30-063;3 Maja ;Al.
mazowieckie;M. Warszawa;Warszawa;00-391;3 Maja ;Al.
zachodniopomorskie;M. Szczecin;Szczecin;70-214;3 Maja ;Al.
mazowieckie;M. Warszawa;Warszawa;00-401;3 Maja ;Al.
mazowieckie;M. Warszawa;Warszawa;00-381;3 Maja ;Al.
zachodniopomorskie;M. Szczecin;Szczecin;70-215;3 Maja ;Al.
ma³opolskie;M. Kraków;Kraków;30-062;3 Maja ;Al.
œl¹skie;tarnogórski;Tarnowskie Góry;42-600;3 Pu³ku U³anów;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-805;30 Maja 1960;ul.
œl¹skie;bêdziñski;Bêdzin;42-500;35 Lecia PRL;ul.
mazowieckie;M. Warszawa;Warszawa;03-129;"36 Pu³ku Piechoty ""Legii Akademickiej""";ul.
œl¹skie;M. Jaworzno;Jaworzno;43-600;3-go Maja;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;3-go Pu³ku Strzelców Podhalañskich;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-708;4 Marca;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-166;42 Pu³ku Piechoty;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-376;5 Lipca;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-374;5 Lipca;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-375;5 Lipca;ul.
wielkopolskie;M. Poznañ;Poznañ;60-408;5 Stycznia;ul.
opolskie;brzeski;Brzeg;49-300;6 Lutego;ul.
mazowieckie;M. Warszawa;Warszawa;02-843;6 Sierpnia;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-606;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-416;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-616;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-422;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-623;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-617;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-637;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-415;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-636;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-638;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-645;6 Sierpnia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-646;6 Sierpnia;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-825;62 Pu³ku Piechoty Wielkopolskiej;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-226;7 Kamienic;ul.
mazowieckie;M. Warszawa;Warszawa;02-138;7 Pu³ku Piechoty AK Gar³uch;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-608;700 Lecia;ul.
œl¹skie;M. Katowice;Katowice;40-496;73 Pu³ku Piechoty;ul.
œl¹skie;M. Chorzów;Chorzów;41-500;75 Pu³ku Piechoty;ul.
œl¹skie;miko³owski;Miko³ów;43-190;750 Lecia;Plac
podkarpackie;M. Rzeszów;Rzeszów;35-065;8 Marca;ul.
œl¹skie;M. Bytom;Bytom;41-923;8 Marca;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-230;8 Marca;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-600;9 Maja;Plac
œl¹skie;M. Katowice;Katowice;40-303;9 Maja;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;9 Maja;ul.
œl¹skie;M. Bytom;Bytom;41-935;9 Maja;ul.
œl¹skie;bêdziñski;Bêdzin;42-500;9 Maja;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-600;9 Maja;ul.
œl¹skie;M. Rybnik;Rybnik;44-210;9 Maja;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-220;9 Maja;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-671;9 Maja;ul.
wielkopolskie;M. Poznañ;Poznañ;61-643;9 Maja;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-136;9 Maja;ul.
mazowieckie;M. Warszawa;Warszawa;01-972;Abecad³o;ul.
lubelskie;M. Lublin;Lublin;20-710;Abelarda;ul.
ma³opolskie;M. Kraków;Kraków;31-236;Abp Feliñskiego Zygmunta Szczêsnego;ul.
ma³opolskie;M. Kraków;Kraków;30-555;Abrahama;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-893;Abrahama Antoniego;ul.
pomorskie;M. Gdañsk;Gdañsk;80-307;Abrahama Antoniego;ul.
pomorskie;M. Gdynia;Gdynia;81-352;Abrahama Antoniego;ul.
pomorskie;M. Sopot;Sopot;81-825;Abrahama Antoniego;ul.
pomorskie;M. Gdynia;Gdynia;81-366;Abrahama Antoniego;ul.
pomorskie;M. Sopot;Sopot;81-833;Abrahama Antoniego;ul.
pomorskie;M. Gdynia;Gdynia;81-395;Abrahama Antoniego;ul.
pomorskie;M. Gdynia;Gdynia;81-393;Abrahama Antoniego;ul.
pomorskie;M. Gdynia;Gdynia;81-390;Abrahama Antoniego;ul.
pomorskie;M. Gdynia;Gdynia;81-387;Abrahama Antoniego;ul.
wielkopolskie;M. Poznañ;Poznañ;61-615;Abrahama Romana;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-318;Abrahama Romana;ul.
lubelskie;M. Lublin;Lublin;20-442;Abramowicka;ul.
lubelskie;M. Lublin;Lublin;20-391;Abramowicka;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-241;Abramowskiego Edwarda;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-663;Abramowskiego Edwarda;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-104;Abramowskiego Edwarda;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-355;Abramowskiego Edwarda;ul.
mazowieckie;M. Warszawa;Warszawa;02-669;Abramowskiego Edwarda;ul.
mazowieckie;M. Warszawa;Warszawa;02-659;Abramowskiego Edwarda;ul.
lubelskie;lubartowski;Abramów;21-143;Abramów;Poczta
mazowieckie;M. Warszawa;Warszawa;02-495;Achera Franciszka;ul.
mazowieckie;M. Warszawa;Warszawa;02-874;Achillesa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-299;Achillesa;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-700;Achtelika Joachima;ul.
œl¹skie;M. Katowice;Katowice;40-467;Adama;ul.
opolskie;M. Opole;Opole;45-678;Adama;ul.
wielkopolskie;M. Poznañ;Poznañ;60-177;Adamanisa Franciszka;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-530;Adamczewskich Heleny i Ludwika;ul.
œl¹skie;M. Katowice;Katowice;40-750;Adamczyka Ferdynanda;ul.
œl¹skie;raciborski;Racibórz;47-400;Adamczyka Kaspra;ul.
mazowieckie;M. Warszawa;Warszawa;02-495;Adamieckiego Karola;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;Adamieckiego Karola;ul.
œl¹skie;M. Chorzów;Chorzów;41-503;Adamieckiego Karola;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-435;Adamieckiego Karola;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-305;Adamieckiego Karola;ul.
opolskie;M. Opole;Opole;45-530;Adamka Jana;ul.
œl¹skie;M. Bytom;Bytom;41-909;Adamka Miko³aja;ul.
lubelskie;zamojski;Adamów;22-442;Adamów;Poczta
lubelskie;³ukowski;Adamów;21-412;Adamów;Poczta
podkarpackie;przeworski;Adamówka;37-534;Adamówka;Poczta
mazowieckie;M. Warszawa;Warszawa;03-913;Adampolska;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;Adamskiego W³adys³awa;ul.
mazowieckie;M. Warszawa;Warszawa;00-910;Admiralska;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-711;Admiralska;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-280;Admiralska;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Admiralska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-218;Admiralska;ul.
wielkopolskie;M. Poznañ;Poznañ;60-480;Admiralska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-510;Admiralska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-857;Admiralska;ul.
pomorskie;M. Gdañsk;Gdañsk;80-339;Admira³a Dickmana Arenda;ul.
